No	TMNo	EnNo	Name	INOUT	Mode	DateTime
194	1	61		0	0	2019/09/26 17:10:09
195	1	156		0	0	2019/09/26 17:11:10
196	1	159		0	0	2019/09/26 17:34:51
197	1	171		0	0	2019/09/26 17:37:08
198	1	176		0	0	2019/09/26 17:37:16
199	1	175		0	0	2019/09/26 17:38:18
200	1	159		0	0	2019/09/27 06:42:54
201	1	156		0	0	2019/09/27 06:51:14
202	1	171		0	0	2019/09/27 06:53:36
203	1	153		0	0	2019/09/27 06:59:31
204	1	152		0	0	2019/09/27 06:59:52
205	1	175		0	0	2019/09/27 07:04:31
206	1	61		0	0	2019/09/27 08:55:05
207	1	153		0	0	2019/09/27 17:07:09
208	1	156		0	0	2019/09/27 17:10:53
209	1	61		0	0	2019/09/27 17:21:15
210	1	159		0	0	2019/09/27 17:29:29
211	1	152		0	0	2019/09/27 17:33:11
212	1	160		0	0	2019/09/27 17:45:19
213	1	176		0	0	2019/09/27 17:56:54
214	1	159		0	0	2019/09/28 06:33:01
215	1	156		0	0	2019/09/28 06:55:57
216	1	171		0	0	2019/09/28 07:01:03
217	1	61		0	0	2019/09/28 09:04:02
218	1	187		0	0	2019/09/28 17:00:55
219	1	171		0	0	2019/09/28 17:02:19
220	1	156		0	0	2019/09/28 17:12:40
221	1	159		0	0	2019/09/28 17:18:04
222	1	61		0	0	2019/09/28 17:29:23
223	1	171		0	0	2019/09/29 07:24:08
224	1	159		0	0	2019/09/30 06:44:00
225	1	156		0	0	2019/09/30 06:51:06
226	1	171		0	0	2019/09/30 07:02:13
227	1	153		0	0	2019/09/30 07:04:43
228	1	176		0	0	2019/09/30 07:05:24
229	1	61		0	0	2019/09/30 08:55:14
230	1	61		0	0	2019/09/30 17:08:17
231	1	156		0	0	2019/09/30 17:08:28
232	1	159		0	0	2019/09/30 17:10:19
233	1	171		0	0	2019/09/30 17:12:57
234	1	176		0	0	2019/09/30 17:56:54
235	1	160		0	0	2019/09/30 17:57:13
236	1	152		0	0	2019/10/01 06:46:59
237	1	149		0	0	2019/10/01 06:47:58
238	1	159		0	0	2019/10/01 06:48:16
239	1	156		0	0	2019/10/01 06:50:43
240	1	129		0	0	2019/10/01 06:53:18
241	1	170		0	0	2019/10/01 06:53:58
242	1	42		0	0	2019/10/01 06:55:48
243	1	145		0	0	2019/10/01 06:56:25
244	1	3		0	0	2019/10/01 06:56:52
245	1	165		0	0	2019/10/01 06:59:02
246	1	162		0	0	2019/10/01 06:59:39
247	1	171		0	0	2019/10/01 07:01:01
248	1	187		0	0	2019/10/01 07:01:25
249	1	151		0	0	2019/10/01 07:02:22
250	1	158		0	0	2019/10/01 07:02:55
251	1	176		0	0	2019/10/01 07:03:23
252	1	173		0	0	2019/10/01 07:04:03
253	1	153		0	0	2019/10/01 07:04:24
254	1	184		0	0	2019/10/01 07:05:13
255	1	182		0	0	2019/10/01 07:05:49
256	1	60		0	0	2019/10/01 07:06:12
257	1	186		0	0	2019/10/01 07:06:53
258	1	146		0	0	2019/10/01 07:07:26
259	1	175		0	0	2019/10/01 07:08:33
260	1	142		0	0	2019/10/01 07:10:27
261	1	17		0	0	2019/10/01 07:11:27
262	1	14		0	0	2019/10/01 08:52:55
263	1	61		0	0	2019/10/01 08:59:03
264	1	153		0	0	2019/10/01 17:02:19
265	1	173		0	0	2019/10/01 17:02:27
266	1	151		0	0	2019/10/01 17:02:33
267	1	158		0	0	2019/10/01 17:02:42
268	1	60		0	0	2019/10/01 17:02:51
269	1	187		0	0	2019/10/01 17:03:01
270	1	186		0	0	2019/10/01 17:03:07
271	1	159		0	0	2019/10/01 17:03:44
272	1	165		0	0	2019/10/01 17:03:49
273	1	142		0	0	2019/10/01 17:04:15
274	1	154		0	0	2019/10/01 17:04:25
275	1	184		0	0	2019/10/01 17:06:31
276	1	182		0	0	2019/10/01 17:06:50
277	1	17		0	0	2019/10/01 17:07:08
278	1	42		0	0	2019/10/01 17:07:28
279	1	170		0	0	2019/10/01 17:07:59
280	1	146		0	0	2019/10/01 17:08:15
281	1	171		0	0	2019/10/01 17:08:25
282	1	152		0	0	2019/10/01 17:09:43
283	1	156		0	0	2019/10/01 17:09:46
284	1	61		0	0	2019/10/01 17:09:57
285	1	3		0	0	2019/10/01 17:10:07
286	1	145		0	0	2019/10/01 17:10:30
287	1	162		0	0	2019/10/01 17:11:34
288	1	176		0	0	2019/10/01 17:11:54
289	1	129		0	0	2019/10/01 17:41:58
290	1	14		0	0	2019/10/01 20:11:23
291	1	42		0	0	2019/10/02 06:29:52
292	1	152		0	0	2019/10/02 06:42:31
293	1	156		0	0	2019/10/02 06:48:00
294	1	165		0	0	2019/10/02 06:53:29
295	1	159		0	0	2019/10/02 06:55:07
296	1	154		0	0	2019/10/02 06:55:10
297	1	129		0	0	2019/10/02 06:55:59
298	1	145		0	0	2019/10/02 06:58:58
299	1	3		0	0	2019/10/02 06:59:39
300	1	149		0	0	2019/10/02 06:59:58
301	1	187		0	0	2019/10/02 07:00:16
302	1	151		0	0	2019/10/02 07:01:28
303	1	170		0	0	2019/10/02 07:01:33
304	1	158		0	0	2019/10/02 07:01:47
305	1	160		0	0	2019/10/02 07:01:51
306	1	162		0	0	2019/10/02 07:01:54
307	1	184		0	0	2019/10/02 07:02:04
308	1	171		0	0	2019/10/02 07:02:08
309	1	176		0	0	2019/10/02 07:02:16
310	1	175		0	0	2019/10/02 07:02:22
311	1	153		0	0	2019/10/02 07:02:47
312	1	186		0	0	2019/10/02 07:03:31
313	1	142		0	0	2019/10/02 07:03:38
314	1	146		0	0	2019/10/02 07:03:50
315	1	173		0	0	2019/10/02 07:08:24
316	1	14		0	0	2019/10/02 07:10:45
317	1	17		0	0	2019/10/02 07:13:55
318	1	182		0	0	2019/10/02 07:16:29
319	1	60		0	0	2019/10/02 07:36:55
320	1	61		0	0	2019/10/02 08:58:56
321	1	60		0	0	2019/10/02 17:04:01
322	1	61		0	0	2019/10/02 17:04:49
323	1	162		0	0	2019/10/02 17:04:59
324	1	165		0	0	2019/10/02 17:05:06
325	1	154		0	0	2019/10/02 17:05:11
326	1	129		0	0	2019/10/02 17:05:59
327	1	151		0	0	2019/10/02 17:06:11
328	1	42		0	0	2019/10/02 17:06:34
329	1	156		0	0	2019/10/02 17:09:12
330	1	182		0	0	2019/10/02 17:10:59
331	1	14		0	0	2019/10/02 17:13:22
332	1	142		0	0	2019/10/02 17:13:50
333	1	173		0	0	2019/10/02 17:13:59
334	1	159		0	0	2019/10/02 17:16:16
335	1	3		0	0	2019/10/02 17:16:30
336	1	186		0	0	2019/10/02 17:16:56
337	1	152		0	0	2019/10/02 17:26:12
338	1	158		0	0	2019/10/02 17:32:38
339	1	176		0	0	2019/10/02 17:46:37
340	1	153		0	0	2019/10/02 18:12:23
341	1	17		0	0	2019/10/02 18:26:06
342	1	187		0	0	2019/10/02 19:01:59
343	1	184		0	0	2019/10/02 19:02:14
344	1	175		0	0	2019/10/02 19:07:46
345	1	160		0	0	2019/10/02 19:33:45
346	1	159		0	0	2019/10/03 04:19:49
347	1	175		0	0	2019/10/03 04:54:06
348	1	170		0	0	2019/10/03 04:55:42
349	1	14		0	0	2019/10/03 05:54:17
350	1	42		0	0	2019/10/03 06:35:48
351	1	145		0	0	2019/10/03 06:44:45
352	1	156		0	0	2019/10/03 06:48:59
353	1	165		0	0	2019/10/03 06:49:10
354	1	162		0	0	2019/10/03 06:53:54
355	1	152		0	0	2019/10/03 06:55:01
356	1	184		0	0	2019/10/03 06:55:22
357	1	149		0	0	2019/10/03 06:57:06
358	1	176		0	0	2019/10/03 06:58:05
359	1	129		0	0	2019/10/03 06:58:50
360	1	160		0	0	2019/10/03 06:59:02
361	1	3		0	0	2019/10/03 07:00:06
362	1	171		0	0	2019/10/03 07:00:45
363	1	151		0	0	2019/10/03 07:00:49
364	1	153		0	0	2019/10/03 07:01:00
365	1	187		0	0	2019/10/03 07:01:06
366	1	142		0	0	2019/10/03 07:02:34
367	1	186		0	0	2019/10/03 07:04:05
368	1	158		0	0	2019/10/03 07:04:10
369	1	173		0	0	2019/10/03 07:06:10
370	1	182		0	0	2019/10/03 07:06:27
371	1	17		0	0	2019/10/03 07:06:33
372	1	60		0	0	2019/10/03 07:13:50
373	1	61		0	0	2019/10/03 08:56:30
374	1	153		0	0	2019/10/03 17:02:20
375	1	129		0	0	2019/10/03 17:04:19
376	1	187		0	0	2019/10/03 17:04:47
377	1	165		0	0	2019/10/03 17:06:22
378	1	42		0	0	2019/10/03 17:07:28
379	1	156		0	0	2019/10/03 17:07:33
380	1	151		0	0	2019/10/03 17:07:38
381	1	61		0	0	2019/10/03 17:08:43
382	1	184		0	0	2019/10/03 17:09:41
383	1	60		0	0	2019/10/03 17:11:07
384	1	182		0	0	2019/10/03 17:11:29
385	1	3		0	0	2019/10/03 17:11:35
386	1	171		0	0	2019/10/03 17:11:50
387	1	170		0	0	2019/10/03 17:12:48
388	1	142		0	0	2019/10/03 17:13:34
389	1	152		0	0	2019/10/03 17:15:47
390	1	175		0	0	2019/10/03 17:15:53
391	1	159		0	0	2019/10/03 17:26:22
392	1	160		0	0	2019/10/03 17:32:20
393	1	176		0	0	2019/10/03 17:52:38
394	1	158		0	0	2019/10/03 18:29:59
395	1	17		0	0	2019/10/03 19:04:01
396	1	173		0	0	2019/10/03 19:04:39
397	1	162		0	0	2019/10/03 19:05:01
398	1	165		0	0	2019/10/04 06:41:46
399	1	145		0	0	2019/10/04 06:42:13
400	1	160		0	0	2019/10/04 06:46:14
401	1	156		0	0	2019/10/04 06:49:00
402	1	42		0	0	2019/10/04 06:51:59
403	1	3		0	0	2019/10/04 06:52:48
404	1	154		0	0	2019/10/04 06:54:16
405	1	170		0	0	2019/10/04 06:54:54
406	1	151		0	0	2019/10/04 06:57:28
407	1	60		0	0	2019/10/04 06:57:39
408	1	129		0	0	2019/10/04 06:57:54
409	1	171		0	0	2019/10/04 06:58:11
410	1	173		0	0	2019/10/04 06:58:19
411	1	152		0	0	2019/10/04 07:01:35
412	1	162		0	0	2019/10/04 07:02:02
413	1	187		0	0	2019/10/04 07:02:10
414	1	153		0	0	2019/10/04 07:03:03
415	1	159		0	0	2019/10/04 07:03:16
416	1	176		0	0	2019/10/04 07:03:32
417	1	184		0	0	2019/10/04 07:03:36
418	1	175		0	0	2019/10/04 07:04:07
419	1	158		0	0	2019/10/04 07:04:13
420	1	149		0	0	2019/10/04 07:04:25
421	1	142		0	0	2019/10/04 07:06:35
422	1	182		0	0	2019/10/04 07:08:34
423	1	61		0	0	2019/10/04 08:59:35
424	1	17		0	0	2019/10/04 12:37:15
425	1	14		0	0	2019/10/04 13:06:14
426	1	145		0	0	2019/10/04 17:02:38
427	1	146		0	0	2019/10/04 17:04:10
428	1	154		0	0	2019/10/04 17:04:37
429	1	129		0	0	2019/10/04 17:04:46
430	1	142		0	0	2019/10/04 17:05:18
431	1	151		0	0	2019/10/04 17:05:42
432	1	42		0	0	2019/10/04 17:05:48
433	1	149		0	0	2019/10/04 17:07:07
434	1	187		0	0	2019/10/04 17:07:15
435	1	175		0	0	2019/10/04 17:07:45
436	1	171		0	0	2019/10/04 17:07:49
437	1	61		0	0	2019/10/04 17:08:04
438	1	170		0	0	2019/10/04 17:08:47
439	1	165		0	0	2019/10/04 17:10:59
440	1	60		0	0	2019/10/04 17:13:43
441	1	184		0	0	2019/10/04 17:14:47
442	1	3		0	0	2019/10/04 17:14:58
443	1	182		0	0	2019/10/04 17:15:39
444	1	152		0	0	2019/10/04 17:20:56
445	1	160		0	0	2019/10/04 17:34:39
446	1	14		0	0	2019/10/04 17:35:03
447	1	159		0	0	2019/10/04 17:35:11
448	1	156		0	0	2019/10/04 17:35:44
449	1	158		0	0	2019/10/04 17:57:09
450	1	162		0	0	2019/10/04 18:07:07
451	1	153		0	0	2019/10/04 18:30:04
452	1	17		0	0	2019/10/04 18:36:27
453	1	156		0	0	2019/10/05 06:39:40
454	1	3		0	0	2019/10/05 06:45:31
455	1	159		0	0	2019/10/05 06:45:38
456	1	42		0	0	2019/10/05 06:50:34
457	1	165		0	0	2019/10/05 06:52:55
458	1	160		0	0	2019/10/05 06:53:18
459	1	145		0	0	2019/10/05 06:56:18
460	1	151		0	0	2019/10/05 06:57:38
461	1	142		0	0	2019/10/05 06:59:50
462	1	149		0	0	2019/10/05 07:00:23
463	1	154		0	0	2019/10/05 07:00:57
464	1	170		0	0	2019/10/05 07:01:19
465	1	182		0	0	2019/10/05 07:01:33
466	1	171		0	0	2019/10/05 07:02:05
467	1	187		0	0	2019/10/05 07:02:35
468	1	152		0	0	2019/10/05 07:03:08
469	1	176		0	0	2019/10/05 07:03:54
470	1	184		0	0	2019/10/05 07:04:00
471	1	162		0	0	2019/10/05 07:04:04
472	1	146		0	0	2019/10/05 07:04:10
473	1	175		0	0	2019/10/05 07:04:17
474	1	153		0	0	2019/10/05 07:04:25
475	1	17		0	0	2019/10/05 07:04:55
476	1	129		0	0	2019/10/05 07:08:48
477	1	14		0	0	2019/10/05 07:13:42
478	1	60		0	0	2019/10/05 07:15:44
479	1	158		0	0	2019/10/05 08:55:45
480	1	61		0	0	2019/10/05 09:00:13
481	1	60		0	0	2019/10/05 17:06:40
482	1	187		0	0	2019/10/05 17:06:53
483	1	42		0	0	2019/10/05 17:07:23
484	1	154		0	0	2019/10/05 17:07:37
485	1	151		0	0	2019/10/05 17:07:46
486	1	142		0	0	2019/10/05 17:07:55
487	1	165		0	0	2019/10/05 17:08:54
488	1	184		0	0	2019/10/05 17:11:06
489	1	175		0	0	2019/10/05 17:11:44
490	1	145		0	0	2019/10/05 17:12:11
491	1	162		0	0	2019/10/05 17:12:21
492	1	146		0	0	2019/10/05 17:13:11
493	1	3		0	0	2019/10/05 17:13:23
494	1	129		0	0	2019/10/05 17:13:31
495	1	182		0	0	2019/10/05 17:14:49
496	1	61		0	0	2019/10/05 17:14:56
497	1	171		0	0	2019/10/05 17:17:31
498	1	153		0	0	2019/10/05 17:17:40
499	1	152		0	0	2019/10/05 17:24:09
500	1	159		0	0	2019/10/05 17:26:04
501	1	17		0	0	2019/10/05 17:26:42
502	1	176		0	0	2019/10/05 17:29:52
503	1	160		0	0	2019/10/05 17:30:01
504	1	14		0	0	2019/10/05 17:32:39
505	1	156		0	0	2019/10/05 17:33:35
506	1	158		0	0	2019/10/05 17:33:55
507	1	184		0	0	2019/10/06 06:32:41
508	1	187		0	0	2019/10/06 07:01:38
509	1	158		0	0	2019/10/06 07:04:39
510	1	162		0	0	2019/10/06 07:04:45
511	1	176		0	0	2019/10/06 07:04:48
512	1	182		0	0	2019/10/06 07:07:16
513	1	153		0	0	2019/10/06 07:07:33
514	1	145		0	0	2019/10/06 07:10:35
515	1	146		0	0	2019/10/06 07:21:16
516	1	170		0	0	2019/10/06 07:27:00
517	1	171		0	0	2019/10/06 07:33:29
518	1	160		0	0	2019/10/06 07:48:46
519	1	14		0	0	2019/10/06 08:58:03
520	1	146		0	0	2019/10/06 15:02:50
521	1	171		0	0	2019/10/06 15:04:01
522	1	170		0	0	2019/10/06 15:04:05
523	1	145		0	0	2019/10/06 15:04:56
524	1	182		0	0	2019/10/06 15:11:18
525	1	187		0	0	2019/10/06 15:12:16
526	1	158		0	0	2019/10/06 15:12:28
527	1	184		0	0	2019/10/06 15:14:47
528	1	176		0	0	2019/10/06 15:14:52
529	1	162		0	0	2019/10/06 15:24:45
530	1	14		0	0	2019/10/06 15:45:57
531	1	160		0	0	2019/10/06 16:16:48
532	1	153		0	0	2019/10/06 16:18:18
533	1	14		0	0	2019/10/07 05:54:29
534	1	154		0	0	2019/10/07 06:31:52
535	1	159		0	0	2019/10/07 06:35:16
536	1	152		0	0	2019/10/07 06:35:37
537	1	165		0	0	2019/10/07 06:35:54
538	1	158		0	0	2019/10/07 06:42:06
539	1	129		0	0	2019/10/07 06:50:32
